Display_first_last,birthdate,value,slugSeason,position,pts,ast,reb,pie,season_exp,draft_year,draft_round,draft_number,BMI
Bogdan Bogdanovic,1992-08-18T00:00:00,1.8e+07,2020-21,Guard,9.6,2.3,3.3,0.08,3,2014,1,27,25.42077580539119
Brandon Goodwin,1995-10-02T00:00:00,1701593,2020-21,Guard,3.9,1.6,1,0.062,2,Undrafted,Undrafted,Undrafted,24.409722222222225
Bruno Fernando,1998-08-15T00:00:00,1517981,2020-21,Forward-Center,1.5,0.4,3,0.073,1,2019,2,34,25.715592135345226
Cam Reddish,1999-09-01T00:00:00,4458000,2020-21,Forward-Guard,11.2,1.3,4,0.053,1,2019,1,10,23.945937500000003
Clint Capela,1994-05-18T00:00:00,1.6e+07,2020-21,Center,14.3,0.9,14.2,0.161,6,2014,1,25,25.09220701963117
Danilo Gallinari,1988-08-08T00:00:00,19500000,2020-21,Forward,12.8,1.5,3.9,0.11,11,2008,1,6,24.360350981558593
De'Andre Hunter,1997-12-02T00:00:00,7422000,2020-21,Forward-Guard,16.7,2.2,5.2,0.114,1,2019,1,4,24.71484375
John Collins,1997-09-23T00:00:00,4137302,2020-21,Forward-Center,18.3,1.3,7.8,0.124,3,2017,1,19,25.179850632525532
Kevin Huerter,1998-08-27T00:00:00,2761920,2020-21,Guard-Forward,11.9,3.6,3.7,0.077,2,2018,1,19,21.402018907226406
Khyri Thomas,1996-05-08T00:00:00,744684,2020-21,Guard,2.3,0.3,0.6,,2,2018,2,38,26.245333333333335
Kris Dunn,1994-03-18T00:00:00,4767000,2020-21,Guard,7.3,3.4,3.6,0.082,4,2016,1,5,25.620444444444445
Lou Williams,1986-10-27T00:00:00,8e+06,2020-21,Guard,12,3.5,2.1,0.103,15,2005,2,45,23.08594483017452
Solomon Hill,1991-03-18T00:00:00,1620564,2020-21,Forward,4.2,0.9,2.3,0.038,7,2013,1,23,26.114069690992768
Tony Snell,1991-11-10T00:00:00,12178571,2020-21,Guard,5.6,1.4,2.3,0.072,7,2013,1,20,24.611932938856015
Trae Young,1998-09-19T00:00:00,6571800,2020-21,Guard,25.7,9.4,4.1,0.151,2,2018,1,5,23.74554325389379
Carsen Edwards,1998-03-12T00:00:00,1517981,2020-21,Guard,5.1,0.6,1.1,0.076,1,2019,2,33,27.891291410434434
Evan Fournier,1992-10-29T00:00:00,17450000,2020-21,Guard-Forward,19.6,3.7,3,0.107,8,2012,1,20,23.091651978849544
Grant Williams,1998-11-30T00:00:00,2498760,2020-21,Forward,5,0.9,2.9,0.043,1,2019,1,22,27.269559500328732
Jaylen Brown,1996-10-24T00:00:00,23437500,2020-21,Guard-Forward,24.7,3.9,5.6,0.132,4,2016,1,3,25.76742274819198
Jayson Tatum,1998-03-03T00:00:00,9897120,2020-21,Forward-Guard,24.9,4.3,6.8,0.145,3,2017,1,3,23.0671875
Kemba Walker,1990-05-08T00:00:00,34379100,2020-21,Guard,17.7,4.6,3.6,0.114,9,2011,1,9,24.952160493827158
Luke Kornet,1995-07-15T00:00:00,2250000,2020-21,Forward-Center,2,0.3,1.2,0.08,3,Undrafted,Undrafted,Undrafted,23.76284478096268
Marcus Smart,1994-03-06T00:00:00,13446428,2020-21,Guard,12.8,5.4,2.8,0.09,6,2014,1,6,27.49511111111111
Moritz Wagner,1997-04-26T00:00:00,2161920,2020-21,Forward-Center,7.1,1.3,2.9,0.094,2,2018,1,25,25.001451589490493
Romeo Langford,1999-10-25T00:00:00,3631200,2020-21,Guard-Forward,2.5,0.4,1.3,0.024,1,2019,1,14,26.289473684210524
Semi Ojeleye,1994-12-05T00:00:00,1752950,2020-21,Forward,5.4,0.8,3,0.063,3,2017,2,37,27.731755424063117
Tristan Thompson,1991-03-13T00:00:00,9258000,2020-21,Center-Forward,7.9,1,8.4,0.106,9,2011,1,4,27.21566834324036
Alize Johnson,1996-04-22T00:00:00,110998,2020-21,Forward,2,0.4,2.8,0.098,2,2018,2,50,23.880147412273676
Andre Roberson,1991-12-04T00:00:00,163818,2020-21,Guard-Forward,1.2,0.8,3,0.023,6,2013,1,26,23.65486300272392
Blake Griffin,1989-03-16T00:00:00,776873,2020-21,Forward,11.6,3.5,5,0.085,10,2009,1,1,26.787075140984605
DeAndre Jordan,1988-07-21T00:00:00,10375678,2020-21,Center,7.6,1.7,7.5,0.108,12,2008,2,35,27.04238641312237
Iman Shumpert,1990-06-26T00:00:00,447155,2020-21,Guard,1,0,0.5,-0.011,9,2011,1,17,25.13678529262945
James Harden,1989-08-26T00:00:00,41254920,2020-21,Guard,25.3,11.2,7.9,0.17,11,2009,1,3,26.085343228200372
Jeff Green,1986-08-28T00:00:00,1620564,2020-21,Forward,9.8,1.5,3.8,0.073,12,2007,1,5,25.81328125
Joe Harris,1991-09-06T00:00:00,16071429,2020-21,Guard-Forward,14.7,1.8,3.5,0.085,6,2014,2,33,25.42077580539119
Kevin Durant,1988-09-29T00:00:00,40108950,2020-21,Forward,29,5.3,7.3,0.163,12,2007,1,2,25.09220701963117
Kyrie Irving,1992-03-23T00:00:00,33460350,2020-21,Guard,28.1,5.7,4.8,0.15,9,2011,1,1,25.033783783783786
LaMarcus Aldridge,1985-07-19T00:00:00,554988,2020-21,Center-Forward,13.7,1.7,4.5,0.096,14,2006,1,2,25.511685295398465
Landry Shamet,1997-03-13T00:00:00,2090040,2020-21,Guard,7.8,1.1,1.8,0.059,2,2018,1,26,23.125
Nicolas Claxton,1999-04-17T00:00:00,1517981,2020-21,Forward-Center,9.8,0.9,4.3,0.143,1,2019,2,31,21.940049354042678
Noah Vonleh,1995-08-24T00:00:00,263995,2020-21,Forward,0,0.3,0.3,-0.094,6,2014,1,9,26.869571683521713
Norvel Pelle,1993-02-03T00:00:00,217845,2020-21,Center,2.3,0.3,2,-0.012,1,Undrafted,Undrafted,Undrafted,24.151249256395
Spencer Dinwiddie,1993-04-06T00:00:00,11454048,2020-21,Guard,6.7,3,4.3,0.102,6,2014,2,38,25.492494518468543
Tyler Cook,1997-09-23T00:00:00,99020,2020-21,Forward,0.7,0.3,1.5,0.037,1,Undrafted,Undrafted,Undrafted,28.010156249999998
Tyler Johnson,1992-05-07T00:00:00,1620564,2020-21,Guard,5.2,0.9,1.8,0.065,6,Undrafted,Undrafted,Undrafted,23.245866666666668
Bismack Biyombo,1992-08-28T00:00:00,3500000,2020-21,Center,5.5,1.3,5.5,0.067,9,2011,1,7,28.010156249999998
Brad Wanamaker,1989-07-25T00:00:00,2250000,2020-21,Guard,4.7,2.5,1.7,0.07,2,Undrafted,Undrafted,Undrafted,26.245333333333335
Caleb Martin,1995-09-28T00:00:00,1517981,2020-21,Forward,5.3,1.1,2.6,0.076,1,Undrafted,Undrafted,Undrafted,24.306797099004893
Cody Martin,1995-09-28T00:00:00,1517981,2020-21,Forward,3.8,1.2,2.4,0.091,1,2019,2,36,24.306797099004893
Cody Zeller,1992-10-05T00:00:00,15415730,2020-21,Forward-Center,9.2,2.3,7.1,0.101,7,2013,1,4,24.49121788358252
Devonte' Graham,1995-02-22T00:00:00,1663861,2020-21,Guard,13.1,5.2,2.7,0.09,2,2018,2,34,25.724338525051607
Gordon Hayward,1990-03-23T00:00:00,28500000,2020-21,Forward,20.4,4.2,5.6,0.125,10,2010,1,9,25.34449607434706
Jalen McDaniels,1998-01-31T00:00:00,1517981,2020-21,Forward-Center,4.5,0.5,2.4,0.049,1,2019,2,52,21.965401615607377
Malik Monk,1998-02-04T00:00:00,5345687,2020-21,Guard,12.3,1.8,2.7,0.093,3,2017,1,11,24.995555555555555
Miles Bridges,1998-03-21T00:00:00,3934320,2020-21,Forward,9.6,2,5.6,0.088,2,2018,1,12,25.99852071005917
Nicolas Batum,1988-12-14T00:00:00,9043478,2020-21,Guard-Forward,8.6,2.3,4.7,0.086,12,2008,1,25,25.264062499999998
Terry Rozier,1994-03-17T00:00:00,18900000,2020-21,Guard,20.2,3.3,3.8,0.112,5,2015,1,16,25.064740101332333
Coby White,2000-02-16T00:00:00,5572680,2020-21,Guard,15.2,4.7,4.6,0.087,1,2019,1,7,23.12109967954124
Cristiano Felicio,1992-07-07T00:00:00,7529020,2020-21,Forward-Center,1.6,0.7,1.7,0.166,5,Undrafted,Undrafted,Undrafted,27.55262011903034
Daniel Theis,1992-04-04T00:00:00,5e+06,2020-21,Forward-Center,9.4,1.6,5.3,0.094,3,Undrafted,Undrafted,Undrafted,26.911718750000002
Denzel Valentine,1993-11-16T00:00:00,4642800,2020-21,Guard,7.4,1.7,3.9,0.095,3,2016,1,14,26.77631578947368
Garrett Temple,1986-05-08T00:00:00,4767000,2020-21,Guard-Forward,8.5,2,3.1,0.056,10,Undrafted,Undrafted,Undrafted,23.12109967954124
Javonte Green,1993-07-23T00:00:00,1517981,2020-21,Guard-Forward,4.2,0.4,2.1,0.069,1,Undrafted,Undrafted,Undrafted,24.950657894736842
Lauri Markkanen,1997-05-22T00:00:00,6731508,2020-21,Forward-Center,17.7,0.9,6,0.112,3,2017,1,7,23.911564625850342
Nikola Vucevic,1990-10-24T00:00:00,2.6e+07,2020-21,Center,24.5,3.8,11.7,0.172,9,2011,1,16,26.5321527072144
Ryan Arcidiacono,1994-03-26T00:00:00,3e+06,2020-21,Guard,3.2,1.2,1.6,0.071,3,Undrafted,Undrafted,Undrafted,24.370666666666665
Thaddeus Young,1988-06-21T00:00:00,13545000,2020-21,Forward,12.2,4.4,6.5,0.131,13,2007,1,12,25.81328125
Tomas Satoransky,1991-10-30T00:00:00,1e+07,2020-21,Guard,7.5,4.8,2.5,0.102,4,2012,2,32,23.65486300272392
Zach LaVine,1995-03-10T00:00:00,19500000,2020-21,Guard-Forward,28.2,4.9,5.1,0.146,6,2014,1,13,23.713948389273064
Andre Drummond,1993-08-10T00:00:00,27957238,2020-21,Center,17.5,2.6,13.5,0.153,8,2012,1,9,29.169690660321237
Cedi Osman,1995-04-08T00:00:00,8840580,2020-21,Forward,10.1,2.7,3.6,0.076,3,2015,2,31,25.907707098221437
Collin Sexton,1999-01-04T00:00:00,4991880,2020-21,Guard,24,4.3,2.8,0.112,2,2018,1,8,25.064740101332333
Damyean Dotson,1994-05-06T00:00:00,2e+06,2020-21,Guard,6.7,2.2,1.9,0.077,3,2017,2,44,24.89964580873672
Darius Garland,2000-01-26T00:00:00,6720720,2020-21,Guard,16.4,5.8,2.2,0.09,1,2019,1,5,25.328579470820042
Dean Wade,1996-11-20T00:00:00,1517981,2020-21,Forward-Center,4.1,0.8,2.3,0.083,1,Undrafted,Undrafted,Undrafted,24.429812528577962
Dylan Windler,1996-09-22T00:00:00,2137440,2020-21,Guard-Forward,5.4,1.1,3.6,0.087,0,2019,1,26,22.647600262984877
Isaiah Hartenstein,1998-05-05T00:00:00,1620564,2020-21,Center-Forward,3.5,0.5,2.8,0.077,2,2017,2,43,24.907879818594104
Jarrett Allen,1998-04-21T00:00:00,3909902,2020-21,Center,12.9,1.6,9.9,0.147,3,2017,1,22,24.7973581071273
Kevin Love,1988-09-07T00:00:00,31258256,2020-21,Forward-Center,5.8,1.3,3.3,0.074,12,2008,1,5,27.570781249999996
Matthew Dellavedova,1990-09-08T00:00:00,1620564,2020-21,Guard,3.1,3.2,1.3,0.059,7,Undrafted,Undrafted,Undrafted,24.995555555555555
Quinn Cook,1993-03-23T00:00:00,110998,2020-21,Guard,2.9,0.7,0.7,0.095,4,Undrafted,Undrafted,Undrafted,23.74554325389379
Rayjon Tucker,1997-09-24T00:00:00,340000,2020-21,Guard,4,1,0,-1.5,1,Undrafted,Undrafted,Undrafted,26.120355555555555
Taurean Prince,1994-03-22T00:00:00,12250000,2020-21,Forward,8.3,1.7,3.6,0.076,4,2016,1,12,24.55600064092293
Thon Maker,1997-02-25T00:00:00,309355,2020-21,Forward-Center,3.8,0.5,2.3,0.134,4,2016,1,10,22.018565759637188
Yogi Ferrell,1993-05-09T00:00:00,110998,2020-21,Guard,9.5,2.5,3.5,0.071,4,Undrafted,Undrafted,Undrafted,24.138503086419753
Boban Marjanovic,1988-08-15T00:00:00,3500000,2020-21,Center,4.4,0.2,3.9,0.15,5,Undrafted,Undrafted,Undrafted,26.326188016528924
Dwight Powell,1991-07-20T00:00:00,11080125,2020-21,Forward-Center,4.4,0.8,3.3,0.074,6,2014,2,45,25.09220701963117
Jalen Brunson,1996-08-31T00:00:00,1663861,2020-21,Guard,12.2,3.2,3.4,0.125,2,2018,2,33,25.064740101332333
JJ Redick,1984-06-24T00:00:00,13013700,2020-21,Guard,8.7,1.3,1.7,0.071,14,2006,1,11,24.995555555555555
Josh Richardson,1993-09-15T00:00:00,10865952,2020-21,Guard,13.3,2.7,3.3,0.075,5,2015,2,40,23.713948389273064
Kristaps Porzingis,1995-08-02T00:00:00,29467800,2020-21,Forward-Center,19.7,1.3,8.6,0.131,4,2015,1,4,22.290923503765356
Luka Doncic,1999-02-28T00:00:00,8049360,2020-21,Forward-Guard,29,9.2,8.4,0.187,2,2018,1,3,25.907707098221437
Maxi Kleber,1992-01-29T00:00:00,8325000,2020-21,Forward,7.8,1.4,5.4,0.082,3,Undrafted,Undrafted,Undrafted,25.09220701963117
Nicolo Melli,1991-01-26T00:00:00,3897436,2020-21,Forward,2,1.1,2.6,0.058,1,Undrafted,Undrafted,Undrafted,25.286998933089468
Trey Burke,1992-11-12T00:00:00,3e+06,2020-21,Guard,7,1.5,0.9,0.083,7,2013,1,9,25.087770061728396
Aaron Gordon,1995-09-16T00:00:00,18136364,2020-21,Forward,14.6,4.3,6.6,0.11,6,2014,1,4,25.81328125
Gary Clark,1994-11-16T00:00:00,2e+06,2020-21,Forward,3.4,0.9,3.2,0.044,2,Undrafted,Undrafted,Undrafted,25.99852071005917
Jamal Murray,1997-02-23T00:00:00,27285000,2020-21,Guard,21.1,4.8,4,0.115,4,2016,1,7,26.87022222222222
JaMychal Green,1990-06-21T00:00:00,7199760,2020-21,Forward-Center,8.7,0.8,5.5,0.095,6,Undrafted,Undrafted,Undrafted,24.93453125
JaVale McGee,1988-01-19T00:00:00,4200000,2020-21,Center-Forward,8,1,5.2,0.126,12,2008,1,18,26.900510204081634
Monte Morris,1995-06-27T00:00:00,1723707,2020-21,Guard,10.4,3.4,2.2,0.089,3,2017,2,51,23.493243243243242
Nikola Jokic,1995-02-19T00:00:00,29542010,2020-21,Center,27.1,8.6,11.3,0.205,5,2014,2,41,28.98127449557265
Paul Millsap,1985-02-10T00:00:00,1e+07,2020-21,Forward,9.5,1.6,5,0.09,14,2006,2,47,28.949046627143087
PJ Dozier,1996-10-25T00:00:00,1762796,2020-21,Guard-Forward,7.7,1.6,3.8,0.087,3,Undrafted,Undrafted,Undrafted,23.687541091387246
Vlatko Cancar,1997-04-10T00:00:00,1517981,2020-21,Forward,1.4,0.3,1.2,0.056,1,2017,2,49,25.923125
Will Barton,1991-01-06T00:00:00,13723214,2020-21,Guard,13,3.2,4.1,0.081,8,2012,2,40,20.914365548980935
Blake Griffin,1989-03-16T00:00:00,32670565,2020-21,Forward,11.6,3.5,5,0.085,10,2009,1,1,26.787075140984605
Cory Joseph,1991-08-20T00:00:00,12600000,2020-21,Guard,6.7,2.4,2.2,0.058,9,2011,1,29,24.995555555555555
Dewayne Dedmon,1989-08-12T00:00:00,2866667,2020-21,Center,6.4,0.7,6,,7,Undrafted,Undrafted,Undrafted,24.409722222222225
Dzanan Musa,1999-05-08T00:00:00,2002800,2020-21,Guard-Forward,4.3,0.9,1.9,,2,2018,1,29,23.251181222374637
Hamidou Diallo,1998-07-31T00:00:00,1663861,2020-21,Guard,11.9,2.4,5.2,0.103,2,2018,2,45,23.951087873165797
Jahlil Okafor,1995-12-15T00:00:00,1882867,2020-21,Center-Forward,4.3,0.3,2.3,0.1,5,2015,1,3,28.228732897085067
Jerami Grant,1994-03-12T00:00:00,19050000,2020-21,Forward,23.3,2.8,5,0.117,6,2014,2,39,23.0671875
Josh Jackson,1997-02-10T00:00:00,4767000,2020-21,Guard-Forward,13.2,2.1,4.2,0.085,3,2017,1,4,22.737656249999997
Mason Plumlee,1990-03-05T00:00:00,8e+06,2020-21,Forward-Center,10.3,3.6,9.5,0.124,7,2013,1,22,25.919872260124837
Rodney McGruder,1991-07-29T00:00:00,5192307,2020-21,Guard,5.6,1,1.4,0.092,4,Undrafted,Undrafted,Undrafted,24.950657894736842
Sekou Doumbouya,2000-12-23T00:00:00,3449400,2020-21,Forward,3.9,0.6,2.2,0.036,1,2019,1,15,25.264062499999998
Wayne Ellington,1987-11-29T00:00:00,1620564,2020-21,Guard,10.6,1.4,1.8,0.073,11,2009,1,28,25.19407894736842
Zhaire Smith,1999-06-04T00:00:00,1068200,2020-21,Guard,3.7,0.9,1.2,,2,2018,1,16,25.620444444444445
Alen Smailagic,2000-08-18T00:00:00,1517981,2020-21,Forward,1.7,0,0,-0.197,1,2019,2,39,22.47843545508626
Andrew Wiggins,1995-02-23T00:00:00,29542010,2020-21,Forward,17.7,2.1,4.6,0.095,6,2014,1,1,22.190514340650537
Damion Lee,1992-10-21T00:00:00,1762796,2020-21,Guard-Forward,6.7,1.4,3.3,0.095,3,Undrafted,Undrafted,Undrafted,24.89964580873672
Draymond Green,1990-03-04T00:00:00,22246956,2020-21,Forward,6.1,8.4,6.6,0.097,8,2012,2,35,26.576265614727156
Eric Paschall,1996-11-04T00:00:00,1517981,2020-21,Forward,9.5,1.3,3.2,0.097,1,2019,2,41,29.464990138067062
Jordan Poole,1999-06-19T00:00:00,2063280,2020-21,Guard,10.8,1.4,1.6,0.136,1,2019,1,28,23.611842105263158
Kent Bazemore,1989-07-01T00:00:00,1620564,2020-21,Guard-Forward,6.1,1.6,2.9,0.077,8,Undrafted,Undrafted,Undrafted,23.733552631578945
Kevon Looney,1996-02-06T00:00:00,4821429,2020-21,Forward,3.9,1.6,4.2,0.093,5,2015,1,30,23.78692272519433
Klay Thompson,1990-02-08T00:00:00,35361360,2020-21,Guard,21.5,2.4,3.8,0.103,8,2011,1,11,24.843030900723207
Stephen Curry,1988-03-14T00:00:00,43006362,2020-21,Guard,29,6.2,5.3,0.176,11,2009,1,7,23.120888888888892
Avery Bradley,1990-11-26T00:00:00,5635000,2020-21,Guard,8.5,1.4,1.8,0.062,10,2010,1,19,22.496000000000002
Ben McLemore,1993-02-11T00:00:00,2283034,2020-21,Guard,6.6,0.9,2.2,0.05,7,2013,1,7,24.370666666666665
