Display_first_last,birthdate,value,slugSeason,position,pts,ast,reb,pie,season_exp,draft_year,draft_round,draft_number,BMI
Darius Miller,1990-03-21T00:00:00,7e+06,2020-21,Forward,3.4,1.1,1.4,0.115,5,2012,2,46,25.99852071005917
Frank Jackson,1998-05-04T00:00:00,250000,2020-21,Guard,5.2,0.8,1.4,0.08,2,2017,2,31,25.620444444444445
Isaiah Roby,1998-02-03T00:00:00,1517981,2020-21,Forward,9,1.7,5.5,0.095,1,2019,2,45,25.264062499999998
Josh Gray,1993-09-09T00:00:00,1620564,2020-21,Guard,4.9,2,1.7,,2,Undrafted,Undrafted,Undrafted,24.409722222222225
Justin Jackson,1995-03-28T00:00:00,5029650,2020-21,Forward,7,1.5,2.2,0.08,3,2017,1,15,24.165625000000002
Justin Robinson,1997-10-12T00:00:00,99020,2020-21,Guard,1.4,0.8,0.6,,1,2019,None,None,25.724338525051607
Kenrich Williams,1994-12-02T00:00:00,2e+06,2020-21,Guard-Forward,7,1.8,4.1,0.098,2,Undrafted,Undrafted,Undrafted,24.26528599605523
Luguentz Dort,1999-04-19T00:00:00,1517981,2020-21,Guard,12.6,1.6,3.5,0.056,1,Undrafted,Undrafted,Undrafted,26.87022222222222
Meyers Leonard,1992-02-27T00:00:00,9400000,2020-21,Forward-Center,3.3,0.7,2.3,0.067,8,2012,1,11,25.904195011337865
Mike Muscala,1991-07-01T00:00:00,2283034,2020-21,Forward-Center,9.7,0.8,3.8,0.112,7,2013,2,44,25.09220701963117
Moses Brown,1999-10-13T00:00:00,1250000,2020-21,Center,6.6,0.3,6.5,0.119,1,Undrafted,Undrafted,Undrafted,23.287587885343427
Patrick Patterson,1989-03-14T00:00:00,737067,2020-21,Forward,4.7,0.5,2,0.06,10,2010,1,14,25.81328125
Svi Mykhailiuk,1997-06-10T00:00:00,1663861,2020-21,Guard-Forward,7,1.6,2.1,0.077,2,2018,2,47,23.091651978849544
Tony Bradley,1998-01-08T00:00:00,3542060,2020-21,Center-Forward,4.8,0.9,4.9,0.121,3,2017,1,28,25.928613920285542
Ty Jerome,1997-07-08T00:00:00,2303040,2020-21,Guard-Forward,9.9,3.6,3.5,0.091,1,2019,1,24,23.12109967954124
Zylan Cheatham,1995-11-17T00:00:00,1445697,2020-21,Forward,3,0.8,2.3,,1,Undrafted,Undrafted,Undrafted,26.085343228200372
Dwayne Bacon,1995-08-30T00:00:00,1678854,2020-21,Guard-Forward,9.9,1.1,2.8,0.06,3,2017,2,40,25.536324786324787
Gary Harris,1994-09-14T00:00:00,19160714,2020-21,Guard,9.7,1.7,2.5,0.052,6,2014,1,19,25.559210526315788
Jeff Teague,1988-06-10T00:00:00,1620564,2020-21,Guard,6.6,2.2,1.6,0.068,11,2009,1,19,24.370666666666665
Jonathan Isaac,1997-10-03T00:00:00,7362566,2020-21,Forward,11.9,1.4,6.8,0.108,3,2017,1,6,23.470750471766582
Khem Birch,1992-09-28T00:00:00,3e+06,2020-21,Center,5.5,1,5.2,0.084,3,Undrafted,Undrafted,Undrafted,24.96555403139765
Markelle Fultz,1998-05-29T00:00:00,12288697,2020-21,Guard,12.9,5.4,3.1,0.081,3,2017,1,1,26.120355555555555
Mo Bamba,1998-05-12T00:00:00,5969040,2020-21,Center,4.6,0.3,3.9,0.126,2,2018,1,6,23.014880952380953
Terrence Ross,1991-02-05T00:00:00,13500000,2020-21,Guard-Forward,16,2.3,3.5,0.092,8,2012,1,8,23.80309007232084
Ben Simmons,1996-07-20T00:00:00,30559200,2020-21,Guard-Forward,16.1,7.6,8,0.134,3,2016,1,1,24.49121788358252
Danny Green,1987-06-22T00:00:00,15365853,2020-21,Guard,9.2,1.7,3.6,0.064,11,2009,2,46,24.843030900723207
Dwight Howard,1985-12-08T00:00:00,1620564,2020-21,Center-Forward,6.6,0.8,8.2,0.119,16,2004,1,1,27.705978584176087
Furkan Korkmaz,1997-07-24T00:00:00,1762796,2020-21,Guard-Forward,9.2,1.1,2.2,0.084,3,2016,1,26,22.753725364524914
George Hill,1986-05-04T00:00:00,9590602,2020-21,Guard,11.8,3.1,2.1,0.101,12,2008,1,26,22.88157894736842
Joel Embiid,1994-03-16T00:00:00,29542010,2020-21,Center-Forward,29.9,3.3,11.5,0.211,4,2014,1,3,27.896825396825395
Justin Anderson,1993-11-19T00:00:00,125000,2020-21,Forward-Guard,5.2,0.7,2.5,,5,2015,1,21,27.38961038961039
Matisse Thybulle,1997-03-04T00:00:00,2711280,2020-21,Guard-Forward,3.7,1,1.7,0.05,1,2019,1,20,23.832518131219427
Mike Scott,1988-07-16T00:00:00,5005350,2020-21,Forward,3.8,0.5,2.6,0.054,8,2012,2,43,26.69620253164557
Seth Curry,1990-08-23T00:00:00,7834449,2020-21,Guard,12.9,2.9,2.2,0.082,6,Undrafted,Undrafted,Undrafted,23.75
Shake Milton,1996-09-26T00:00:00,1701593,2020-21,Guard-Forward,13.8,3.1,2.3,0.098,2,2018,2,54,24.306797099004893
Tobias Harris,1992-07-15T00:00:00,34358850,2020-21,Forward,20.8,3.6,7.7,0.147,9,2011,1,19,24.824687499999996
Abdel Nader,1993-09-25T00:00:00,1752950,2020-21,Forward,6.7,0.8,2.6,0.092,3,2016,2,58,26.678191937932194
Cameron Johnson,1996-03-03T00:00:00,4235160,2020-21,Forward,10.3,1.4,3.3,0.09,1,2019,1,11,23.0671875
Chris Paul,1985-05-06T00:00:00,41358814,2020-21,Guard,15.7,8.8,4.7,0.145,15,2005,1,4,23.731674382716047
Damian Jones,1995-06-30T00:00:00,785285,2020-21,Center,3,0.2,2,0.062,4,2016,1,30,25.001451589490493
Dario Saric,1994-04-08T00:00:00,9250000,2020-21,Forward-Center,10.3,1.3,4.2,0.1,4,2014,1,12,23.523944080904226
Deandre Ayton,1998-07-23T00:00:00,10018200,2020-21,Center,14.5,1.6,11,0.129,2,2018,1,1,25.511685295398465
Devin Booker,1996-10-30T00:00:00,29467800,2020-21,Guard,25.1,4.6,4,0.126,5,2015,1,13,24.425366840951256
E'Twaun Moore,1989-02-25T00:00:00,1620564,2020-21,Guard,4.3,1.5,1.8,0.055,9,2011,2,55,23.870755555555558
Frank Kaminsky,1993-04-04T00:00:00,1620564,2020-21,Forward-Center,6.6,1.6,3.7,0.11,5,2015,1,9,23.911564625850342
Jae Crowder,1990-07-06T00:00:00,9258000,2020-21,Forward,10.1,2,5,0.088,8,2012,2,34,27.154010519395133
Jevon Carter,1995-09-14T00:00:00,3925000,2020-21,Guard,2.8,1.1,1.1,0.066,2,2018,2,32,26.383936948770877
Langston Galloway,1991-12-09T00:00:00,1620564,2020-21,Guard,5.1,0.8,1,0.09,6,Undrafted,Undrafted,Undrafted,26.383936948770877
Mikal Bridges,1996-08-30T00:00:00,4359000,2020-21,Forward,13.7,2.4,4.9,0.104,2,2018,1,10,24.14973701512163
Torrey Craig,1990-12-19T00:00:00,1620564,2020-21,Forward,2.9,0.9,2.4,0.061,3,Undrafted,Undrafted,Undrafted,24.893927255247554
Anfernee Simons,1999-06-08T00:00:00,2252040,2020-21,Guard,8,1.4,2.3,0.077,2,2018,1,24,22.620977777777778
Carmelo Anthony,1984-05-29T00:00:00,1620564,2020-21,Forward,14,1.7,3.3,0.088,17,2003,1,3,26.808844736420443
CJ McCollum,1991-09-19T00:00:00,29354152,2020-21,Guard,23.8,4.3,3.8,0.131,7,2013,1,10,23.745777777777775
Damian Lillard,1990-07-15T00:00:00,31626953,2020-21,Guard,30.1,7.7,4.4,0.165,8,2012,1,6,25.033783783783786
Enes Kanter,1992-05-20T00:00:00,5005350,2020-21,Center,12.1,1.3,11.6,0.137,9,2011,1,3,26.137715645449134
Jusuf Nurkic,1994-08-23T00:00:00,12888889,2020-21,Center,9.8,2.8,7.7,0.103,6,2014,1,16,29.593554942662212
Nassir Little,2000-02-11T00:00:00,2210640,2020-21,Forward-Guard,5.3,0.4,2.6,0.074,1,2019,1,25,26.085343228200372
Norman Powell,1993-05-25T00:00:00,10865952,2020-21,Guard,19.5,1.8,3,0.106,5,2015,2,46,26.87022222222222
Robert Covington,1990-12-14T00:00:00,12138345,2020-21,Forward,8.6,1.7,6.7,0.073,7,Undrafted,Undrafted,Undrafted,23.54222079794905
Zach Collins,1997-11-19T00:00:00,5406255,2020-21,Forward-Center,7,1.5,6.3,0.054,3,2017,1,10,25.511685295398465
Buddy Hield,1992-12-17T00:00:00,24701834,2020-21,Guard,16.9,3.3,4.6,0.078,4,2016,1,6,26.77631578947368
Chimezie Metu,1997-03-22T00:00:00,50000,2020-21,Forward-Center,3.4,0.5,2.1,0.094,2,2018,2,49,24.108367626886146
Chris Silva,1996-09-19T00:00:00,1517981,2020-21,Forward,2.7,0.5,2.3,0.077,1,Undrafted,Undrafted,Undrafted,25.7034375
De'Aaron Fox,1997-12-20T00:00:00,8099627,2020-21,Guard,23.8,7.4,3.4,0.116,3,2017,1,5,23.120888888888892
Delon Wright,1992-04-26T00:00:00,9e+06,2020-21,Guard,10.5,5.1,4.6,0.119,5,2015,1,20,21.935402260077584
Glenn Robinson III,1994-01-08T00:00:00,930930,2020-21,Forward,5.3,0.9,2,0.057,6,2014,2,40,25.651873767258383
Harrison Barnes,1992-05-30T00:00:00,22215909,2020-21,Forward,16.3,3.7,6.5,0.111,8,2012,1,7,24.71484375
Hassan Whiteside,1989-06-13T00:00:00,1620564,2020-21,Center,8,0.6,5.8,0.118,8,2010,2,33,26.40235260770975
Jabari Parker,1995-03-15T00:00:00,6500000,2020-21,Forward,2.7,0.3,2,0.037,6,2014,1,2,26.911718750000002
Justin James,1997-01-24T00:00:00,1517981,2020-21,Guard-Forward,2.1,0.5,0.5,0.051,1,2019,2,40,21.402018907226406
Marvin Bagley III,1999-03-14T00:00:00,8963640,2020-21,Forward,13.9,0.9,7.4,0.095,2,2018,1,2,23.980984177674554
Maurice Harkless,1993-05-11T00:00:00,3623000,2020-21,Forward-Guard,1.4,0.6,1.2,0.023,8,2012,1,15,24.781285050472682
Mfiondu Kabengele,1997-08-14T00:00:00,2075880,2020-21,Forward-Center,1.2,0.2,0.6,0.003,1,2019,1,27,26.787075140984605
Norvel Pelle,1993-02-03T00:00:00,99020,2020-21,Center,2.3,0.3,2,-0.012,1,Undrafted,Undrafted,Undrafted,24.151249256395
Richaun Holmes,1993-10-15T00:00:00,5005350,2020-21,Forward,13.9,1.8,8.8,0.119,5,2015,2,37,24.56945270672219
Terence Davis,1997-05-16T00:00:00,1517981,2020-21,Guard,7,1.1,2,0.075,1,Undrafted,Undrafted,Undrafted,24.463815789473685
Cameron Reynolds,1995-02-07T00:00:00,110998,2020-21,Guard-Forward,5,0.7,1.6,,1,Undrafted,Undrafted,Undrafted,25.34449607434706
Dejounte Murray,1996-09-19T00:00:00,14286000,2020-21,Guard,15.6,5.1,7,0.125,3,2016,1,29,21.907894736842106
DeMar DeRozan,1989-08-07T00:00:00,27739975,2020-21,Guard-Forward,20.6,7.4,4.5,0.144,11,2009,1,9,25.42077580539119
DeMarre Carroll,1986-07-27T00:00:00,6119676,2020-21,Forward,8.9,1.3,4.2,,11,2009,1,27,24.843030900723207
Derrick White,1994-07-02T00:00:00,3516284,2020-21,Guard,12.8,3.4,2.4,0.076,3,2017,1,29,23.125
Drew Eubanks,1997-02-01T00:00:00,1620564,2020-21,Forward-Center,4.6,0.9,3.2,0.089,2,Undrafted,Undrafted,Undrafted,26.251333638164912
Gorgui Dieng,1990-01-18T00:00:00,1e+06,2020-21,Center,7.9,1.3,4.5,0.124,7,2013,1,21,26.346817370612733
Jakob Poeltl,1995-10-15T00:00:00,8101852,2020-21,Center,7.1,1.8,7.8,0.099,4,2016,1,9,23.838754325259515
Keldon Johnson,1999-10-11T00:00:00,2048040,2020-21,Forward-Guard,13.9,2,6.5,0.1,1,2019,1,29,26.085343228200372
LaMarcus Aldridge,1985-07-19T00:00:00,16750000,2020-21,Center-Forward,13.7,1.7,4.5,0.096,14,2006,1,2,25.511685295398465
Luka Samanic,2000-01-09T00:00:00,2824320,2020-21,Forward,3.8,0.2,2.5,0.077,1,2019,1,19,23.733045806067818
Marquese Chriss,1997-07-02T00:00:00,1824003,2020-21,Forward,6.5,1,6.5,0.11,4,2016,1,8,25.715592135345226
Patty Mills,1988-08-11T00:00:00,13535714,2020-21,Guard,12.9,2.5,1.8,0.095,11,2009,2,55,23.74554325389379
Rudy Gay,1986-08-17T00:00:00,14500000,2020-21,Forward-Guard,10.9,1.5,4.9,0.105,14,2006,1,8,27.4609375
Trey Lyles,1995-11-05T00:00:00,5500000,2020-21,Forward,5,0.6,3.8,0.1,5,2015,1,12,25.07270233196159
Alex Len,1993-06-16T00:00:00,2258000,2020-21,Center,6.1,0.9,3.6,0.099,7,2013,1,5,24.907879818594104
Aron Baynes,1986-12-09T00:00:00,7e+06,2020-21,Center-Forward,6.1,0.9,5.5,0.067,8,Undrafted,Undrafted,Undrafted,27.183224271267104
Chris Boucher,1993-01-11T00:00:00,6500000,2020-21,Forward-Center,13.8,1,6.4,0.134,3,Undrafted,Undrafted,Undrafted,21.429660112787687
DeAndre' Bembry,1994-07-04T00:00:00,1737145,2020-21,Guard-Forward,4.6,1.9,2.3,0.068,4,2016,1,21,24.89964580873672
Fred VanVleet,1994-02-25T00:00:00,21250000,2020-21,Guard,20.1,6.5,4.4,0.118,4,Undrafted,Undrafted,Undrafted,25.988177894539312
Henry Ellenson,1997-01-13T00:00:00,110998,2020-21,Forward-Center,7.5,2.5,6,0.106,4,2016,1,18,25.09220701963117
Kyle Lowry,1986-03-25T00:00:00,30500000,2020-21,Guard,17.6,7.4,5.6,0.117,14,2006,1,24,26.579475308641975
OG Anunoby,1997-07-17T00:00:00,3872215,2020-21,Forward,14,1.6,5.7,0.092,3,2017,1,23,26.13299150777119
Oshae Brissett,1998-06-20T00:00:00,300000,2020-21,Forward-Guard,1.9,0.4,1.4,,1,Undrafted,Undrafted,Undrafted,23.65486300272392
Pascal Siakam,1994-04-02T00:00:00,30559200,2020-21,Forward,19.8,4.7,7.3,0.117,4,2016,1,27,24.64410912970584
Patrick McCaw,1995-10-25T00:00:00,4e+06,2020-21,Guard,1,0.8,0.6,0.057,4,2016,2,38,20.388239064252524
Paul Watson,1994-12-30T00:00:00,1445697,2020-21,Guard,2.6,0.4,1.3,0.044,1,Undrafted,Undrafted,Undrafted,24.26528599605523
Rodney Hood,1992-10-20T00:00:00,10047450,2020-21,Guard-Forward,4.7,1.2,1.9,0.031,6,2014,1,23,22.8475
Stanley Johnson,1996-05-29T00:00:00,3804150,2020-21,Forward-Guard,2.9,1.2,2.2,0.047,5,2015,1,8,27.96285338593031
Bojan Bogdanovic,1989-04-18T00:00:00,17850000,2020-21,Forward,14.9,1.9,3.9,0.081,6,2011,2,31,25.45713827912194
Derrick Favors,1991-07-15T00:00:00,9258000,2020-21,Forward,5.9,0.9,5.3,0.111,10,2010,1,3,28.39429964944368
Donovan Mitchell,1996-09-07T00:00:00,5195501,2020-21,Guard,25.4,5.5,4.6,0.127,3,2017,1,13,28.36273221992869
Ersan Ilyasova,1987-05-15T00:00:00,754783,2020-21,Forward,0,1,0,0,12,2005,2,36,25.179850632525532
Georges Niang,1993-06-17T00:00:00,1783557,2020-21,Forward,5,0.7,2.2,0.061,4,2016,2,50,25.907707098221437
Joe Ingles,1987-10-02T00:00:00,10863637,2020-21,Forward-Guard,12.3,4.2,3.6,0.123,6,Undrafted,Undrafted,Undrafted,24.165625000000002
Jordan Clarkson,1992-06-07T00:00:00,11500000,2020-21,Guard,17.5,2.2,3.9,0.116,6,2014,2,46,23.611842105263158
Juwan Morgan,1997-04-17T00:00:00,1517981,2020-21,Forward,0.9,0.2,0.8,0.035,1,Undrafted,Undrafted,Undrafted,26.13299150777119
Matt Thomas,1994-08-04T00:00:00,1517981,2020-21,Guard,2.6,0.4,0.8,0.058,1,Undrafted,Undrafted,Undrafted,23.125
Mike Conley,1987-10-11T00:00:00,34502132,2020-21,Guard,16.4,5.5,3.4,0.125,13,2007,1,4,23.08594483017452
Miye Oni,1997-08-04T00:00:00,1517981,2020-21,Guard-Forward,2,0.2,1.6,0.051,1,2019,2,58,24.425366840951256
Royce O'Neale,1993-06-05T00:00:00,8500000,2020-21,Forward,7.5,2.6,6.6,0.072,3,Undrafted,Undrafted,Undrafted,27.50657894736842
Rudy Gobert,1992-06-26T00:00:00,27525281,2020-21,Center,14.5,1.3,13.4,0.158,7,2013,1,27,25.103667820069205
Shaquille Harrison,1993-10-06T00:00:00,770433,2020-21,Guard,1,0.5,0.5,0.064,3,Undrafted,Undrafted,Undrafted,21.402018907226406
Alex Len,1993-06-16T00:00:00,1265372,2020-21,Center,6.1,0.9,3.6,0.099,7,2013,1,5,24.907879818594104
Anzejs Pasecniks,1995-12-20T00:00:00,374297,2020-21,Center-Forward,0,1,1,-0.26,1,2017,1,25,22.281937716262973
Bradley Beal,1993-06-28T00:00:00,28751774,2020-21,Guard,31.8,4.6,5.1,0.154,8,2012,1,3,25.8704
Chandler Hutchison,1996-04-26T00:00:00,2443440,2020-21,Forward-Guard,1.9,0.6,2.9,0.042,2,2018,1,22,24.26528599605523
Daniel Gafford,1998-10-01T00:00:00,1517981,2020-21,Forward-Center,4.8,0.6,3.3,0.099,1,2019,2,38,24.464901844140392
Davis Bertans,1992-11-12T00:00:00,1.5e+07,2020-21,Forward,10.8,0.9,2.9,0.064,4,2011,2,42,23.523944080904226
Isaac Bonga,1999-11-08T00:00:00,1663861,2020-21,Guard,2.2,0.6,2.1,0.032,2,2018,2,39,19.771875
Ish Smith,1988-07-05T00:00:00,6e+06,2020-21,Guard,5.2,4.7,3.5,0.094,10,Undrafted,Undrafted,Undrafted,23.731674382716047
Jerome Robinson,1997-02-22T00:00:00,3737520,2020-21,Guard,5.2,1.4,2.5,0.052,2,2018,1,13,23.125
Jordan Bell,1995-01-07T00:00:00,110998,2020-21,Forward,3.3,1.7,5.3,0.074,3,2017,2,38,23.72625
Raul Neto,1992-05-19T00:00:00,1620564,2020-21,Guard,7.7,2.2,2.2,0.081,5,2013,2,47,23.74554325389379
Robin Lopez,1988-04-01T00:00:00,7300000,2020-21,Center,8.2,0.9,4.1,0.084,12,2008,1,15,27.996456916099774
Rui Hachimura,1998-02-08T00:00:00,4692840,2020-21,Forward,13.4,1.5,5.8,0.085,1,2019,1,9,25.264062499999998
Russell Westbrook,1988-11-12T00:00:00,41358814,2020-21,Guard,21.7,10.3,9.5,0.146,12,2008,1,4,24.995555555555555
Thomas Bryant,1997-07-31T00:00:00,8333333,2020-21,Center-Forward,14.3,1.5,6.1,0.111,3,2017,2,42,25.928613920285542
